first_name,second_name,full_name,id,position,position_abv,team,team_abv,selected_by_percent,chance_of_playing_this_round,this_round_chance,chance_of_playing_next_round,next_round_chance,status,now_cost,minutes,appearances,transfers_in,total_points,value_season
Ian Carlo,Poveda-Ocampo,Ian Carlo Poveda-Ocampo,209,Midfielder,MID,Leeds,LEE,0.4,,1,,1,a,45,0,0,0,0,0
Ilkay,Gündogan,Ilkay Gündogan,271,Midfielder,MID,Man City,MCI,0.5,,1,,1,a,55,2012,31,0,65,11.8
Illan,Meslier,Illan Meslier,213,Goalkeeper,GKP,Leeds,LEE,1,,1,,1,a,45,0,0,0,0,0
Indiana,Vassilev,Indiana Vassilev,51,Forward,FWD,Aston Villa,AVL,1.9,,1,,1,a,45,47,4,0,4,0.9
Isaac,Hayden,Isaac Hayden,336,Midfielder,MID,Newcastle,NEW,0.1,,1,,1,a,50,2220,29,0,73,14.6
Issa,Diop,Issa Diop,451,Defender,DEF,West Ham,WHU,1.8,,1,100,1,a,45,2765,32,0,76,16.9
Ivan Ricardo,Neves Abreu Cavaleiro,Ivan Ricardo Neves Abreu Cavaleiro,187,Midfielder,MID,Fulham,FUL,0.1,,1,,1,a,55,0,0,0,0,0
Jack,Grealish,Jack Grealish,37,Midfielder,MID,Aston Villa,AVL,11.3,,1,,1,a,70,3233,36,0,149,21.3
Jack,Cork,Jack Cork,84,Midfielder,MID,Burnley,BUR,0,,1,0,0,i,50,2614,30,0,70,14
Jack,Harrison,Jack Harrison,203,Midfielder,MID,Leeds,LEE,0.6,,1,,1,a,55,0,0,0,0,0
Jack,Robinson,Jack Robinson,352,Defender,DEF,Sheffield Utd,SHU,0.2,,1,,1,a,45,504,6,0,14,3.1
Jack,O'Connell,Jack O'Connell,354,Defender,DEF,Sheffield Utd,SHU,0.8,,1,,1,a,50,2915,33,0,111,22.2
Jack,Stephens,Jack Stephens,367,Defender,DEF,Southampton,SOU,0.5,,1,,1,a,50,2451,28,0,85,17
Jack,Wilshere,Jack Wilshere,434,Midfielder,MID,West Ham,WHU,0.2,,1,,1,a,50,209,8,0,8,1.6
Jacob,Murphy,Jacob Murphy,497,Midfielder,MID,Newcastle,NEW,0,,1,,1,a,50,0,0,0,0,0
Jairo,Riedewald,Jairo Riedewald,144,Midfielder,MID,Crystal Palace,CRY,0.2,,1,,1,a,45,761,17,0,22,4.9
Jake,Vokins,Jake Vokins,380,Defender,DEF,Southampton,SOU,1.5,,1,,1,a,40,90,1,0,2,0.5
Jake,Livermore,Jake Livermore,409,Midfielder,MID,West Brom,WBA,0.2,,1,,1,a,50,0,0,0,0,0
Jamaal,Lascelles,Jamaal Lascelles,328,Defender,DEF,Newcastle,NEW,3.7,,1,100,1,a,45,2076,24,0,73,16.2
Jamal,Lewis,Jamal Lewis,513,Defender,DEF,Newcastle,NEW,1.2,,1,,1,a,45,2301,28,0,48,10.7
James,Bree,James Bree,43,Defender,DEF,Aston Villa,AVL,0,,1,0,0,u,45,0,0,0,0,0
James,Tarkowski,James Tarkowski,81,Defender,DEF,Burnley,BUR,6.9,,1,,1,a,55,3420,38,0,143,26
James,Tomkins,James Tomkins,129,Defender,DEF,Crystal Palace,CRY,0,,1,0,0,i,45,1582,18,0,48,10.7
James,McArthur,James McArthur,130,Midfielder,MID,Crystal Palace,CRY,0.2,,1,,1,a,55,3091,37,0,92,16.7
James,McCarthy,James McCarthy,131,Midfielder,MID,Crystal Palace,CRY,2.5,,1,,1,a,45,1668,33,0,41,9.1
James,Rodríguez,James Rodríguez,508,Midfielder,MID,Everton,EVE,7.8,,1,,1,a,75,0,0,0,0,0
James,Maddison,James Maddison,231,Midfielder,MID,Leicester,LEI,1.8,,1,50,0.5,d,70,2624,31,0,125,17.9
James,Justin,James Justin,239,Defender,DEF,Leicester,LEI,10.7,,1,,1,a,45,1010,13,0,35,7.8
James,Milner,James Milner,241,Midfielder,MID,Liverpool,LIV,0.2,,1,,1,a,55,924,22,0,49,8.9
James,Garner,James Garner,317,Midfielder,MID,Man Utd,MUN,0.1,,1,,1,a,45,8,1,0,1,0.2
James,Ward-Prowse,James Ward-Prowse,370,Midfielder,MID,Southampton,SOU,4.8,,1,,1,a,60,3420,38,0,117,19.5
Jamie,Vardy,Jamie Vardy,224,Forward,FWD,Leicester,LEI,17.9,,1,,1,a,100,3032,35,0,210,21
Jamie,Shackleton,Jamie Shackleton,210,Midfielder,MID,Leeds,LEE,0.1,,1,,1,a,50,0,0,0,0,0
Jan,Bednarek,Jan Bednarek,376,Defender,DEF,Southampton,SOU,3.5,,1,,1,a,45,3057,34,0,84,18.7
Jannik,Vestergaard,Jannik Vestergaard,369,Defender,DEF,Southampton,SOU,0.6,,1,,1,a,45,1496,19,0,51,11.3
Japhet,Tanganga,Japhet Tanganga,402,Defender,DEF,Spurs,TOT,0.2,,1,0,0,i,50,525,6,0,17,3.4
Jarrad,Branthwaite,Jarrad Branthwaite,170,Defender,DEF,Everton,EVE,4.6,,1,,1,a,40,299,4,0,11,2.8
Jarrod,Bowen,Jarrod Bowen,445,Midfielder,MID,West Ham,WHU,1.4,,1,,1,a,65,916,13,0,44,6.8
Javier,Manquillo,Javier Manquillo,332,Defender,DEF,Newcastle,NEW,0.4,,1,,1,a,45,1597,21,0,65,14.4
Jay,Rodriguez,Jay Rodriguez,86,Forward,FWD,Burnley,BUR,0.9,,1,,1,a,60,2002,36,0,100,16.7
Jay-Roy,Grot,Jay-Roy Grot,207,Midfielder,MID,Leeds,LEE,0,,1,,1,a,50,0,0,0,0,0
Jayden,Bogle,Jayden Bogle,510,Defender,DEF,Sheffield Utd,SHU,0.1,,1,,1,a,45,0,0,0,0,0
Jean Michaël,Seri,Jean Michaël Seri,189,Midfielder,MID,Fulham,FUL,0.2,,1,,1,a,50,0,0,0,0,0
Jean-Philippe,Gbamin,Jean-Philippe Gbamin,161,Midfielder,MID,Everton,EVE,0,,1,0,0,i,50,135,2,0,4,0.8
Jed,Steer,Jed Steer,32,Goalkeeper,GKP,Aston Villa,AVL,4.8,,1,,1,a,40,7,1,0,1,0.2
Jeff,Hendrick,Jeff Hendrick,485,Midfielder,MID,Newcastle,NEW,0.1,,1,,1,a,50,1930,24,0,67,13.4
Jeffrey,Schlupp,Jeffrey Schlupp,142,Midfielder,MID,Crystal Palace,CRY,0.1,,1,,1,a,55,1030,17,0,51,9.3
