first_name,second_name,id,position,position_abv,team,team_abv,selected_by_percent,chance_of_playing_this_round,this_round_chance,chance_of_playing_next_round,next_round_chance,status,now_cost,minutes,transfers_in,total_points,value_season
Tyrone,Mings,41,Defender,DEF,Aston Villa,AVL,1.5,,1,,1,a,50,2902,0,90,18
Matt,Targett,42,Defender,DEF,Aston Villa,AVL,1.1,,1,,1,a,45,2291,0,80,17.8
James,Bree,43,Defender,DEF,Aston Villa,AVL,0,,1,0,0,u,45,0,0,0,0
Marvelous,Nakamba,44,Midfielder,MID,Aston Villa,AVL,0.6,,1,,1,a,45,1826,0,43,9.6
Anwar,El Ghazi,45,Midfielder,MID,Aston Villa,AVL,0.2,,1,,1,a,60,2046,0,93,15.5
Ezri,Konsa Ngoyo,46,Defender,DEF,Aston Villa,AVL,0.2,,1,,1,a,45,2038,0,65,14.4
Frédéric,Guilbert,47,Defender,DEF,Aston Villa,AVL,0.2,,1,,1,a,45,2038,0,62,13.8
Wesley,Moraes,48,Forward,FWD,Aston Villa,AVL,0,,1,0,0,i,60,1782,0,67,11.2
Mbwana,Samatta,49,Forward,FWD,Aston Villa,AVL,0.1,,1,,1,a,60,940,0,29,4.8
Keinan,Davis,50,Forward,FWD,Aston Villa,AVL,15.3,,1,,1,a,45,534,0,25,5.6
Indiana,Vassilev,51,Forward,FWD,Aston Villa,AVL,1.9,,1,,1,a,45,47,0,4,0.9
Douglas Luiz,Soares de Paulo,52,Midfielder,MID,Aston Villa,AVL,0.4,,1,,1,a,50,2604,0,90,18
Matthew,Cash,496,Defender,DEF,Aston Villa,AVL,0.4,,1,,1,a,50,0,0,0,0
Ollie,Watkins,514,Forward,FWD,Aston Villa,AVL,0.8,,1,,1,a,60,0,0,0,0
Glenn,Murray,53,Forward,FWD,Brighton,BHA,0.4,,1,0,0,n,50,785,0,36,7.2
Adam,Lallana,54,Midfielder,MID,Brighton,BHA,1.5,,1,,1,a,65,371,0,27,4.2
Dale,Stephens,55,Midfielder,MID,Brighton,BHA,14.8,,1,,1,a,45,2525,0,63,14
Pascal,Groß,57,Midfielder,MID,Brighton,BHA,0.2,,1,,1,a,60,1791,0,76,12.7
Shane,Duffy,58,Defender,DEF,Brighton,BHA,0.2,,1,0,0,n,45,1232,0,44,9.8
Davy,Pröpper,59,Midfielder,MID,Brighton,BHA,0.1,,1,,1,a,50,2826,0,78,15.6
Aaron,Mooy,60,Midfielder,MID,Brighton,BHA,0,,1,0,0,u,50,2079,0,80,16
Dan,Burn,61,Defender,DEF,Brighton,BHA,0.9,,1,,1,a,45,2879,0,86,19.1
Lewis,Dunk,62,Defender,DEF,Brighton,BHA,9.7,,1,,1,a,50,3230,0,128,25.6
Martín,Montoya,63,Defender,DEF,Brighton,BHA,0,,1,0,0,u,45,1892,0,62,13.8
Florin,Andone,64,Forward,FWD,Brighton,BHA,0.4,,1,,1,a,50,71,0,5,1
Solomon,March,65,Midfielder,MID,Brighton,BHA,0,,1,,1,a,50,1139,0,38,7.6
Adam,Webster,66,Defender,DEF,Brighton,BHA,3.3,,1,,1,a,45,2668,0,88,19.6
Joël,Veltman,67,Defender,DEF,Brighton,BHA,0.4,,1,,1,a,45,0,0,0,0
Neal,Maupay,68,Forward,FWD,Brighton,BHA,1.9,,1,,1,a,65,2763,0,131,20.2
Leandro,Trossard,69,Midfielder,MID,Brighton,BHA,0.4,,1,,1,a,60,2004,0,104,17.3
Mathew,Ryan,70,Goalkeeper,GKP,Brighton,BHA,20.2,,1,,1,a,45,3420,0,135,30
Alireza,Jahanbakhsh,71,Midfielder,MID,Brighton,BHA,0.1,,1,,1,a,55,305,0,28,5.1
José,Izquierdo,72,Midfielder,MID,Brighton,BHA,0,,1,0,0,i,55,0,0,0,0
Matthew,Clarke,73,Defender,DEF,Brighton,BHA,0,,1,0,0,n,45,0,0,0,0
Ben,White,74,Defender,DEF,Brighton,BHA,2,,1,,1,a,45,0,0,0,0
Bernardo,Fernandes da Silva Junior,75,Defender,DEF,Brighton,BHA,14.1,,1,,1,a,40,675,0,21,5.2
Yves,Bissouma,76,Midfielder,MID,Brighton,BHA,4.3,,1,,1,a,45,1253,0,39,8.7
Tariq,Lamptey,77,Defender,DEF,Brighton,BHA,2.1,,1,,1,a,45,619,0,26,5.8
Aaron,Connolly,78,Forward,FWD,Brighton,BHA,0.6,,1,,1,a,55,1250,0,61,11.1
Steven,Alzate,79,Midfielder,MID,Brighton,BHA,0.4,,1,,1,a,45,1181,0,33,7.3
Alexis,Mac Allister,80,Midfielder,MID,Brighton,BHA,0.1,,1,,1,a,55,348,0,12,2.2
Christian,Walton,503,Goalkeeper,GKP,Brighton,BHA,1.8,,1,,1,a,40,0,0,0,0
James,Tarkowski,81,Defender,DEF,Burnley,BUR,6.9,,1,,1,a,55,3420,0,143,26
Phil,Bardsley,82,Defender,DEF,Burnley,BUR,0.7,,1,,1,a,45,1890,0,78,17.3
Erik,Pieters,83,Defender,DEF,Burnley,BUR,1.6,,1,,1,a,45,1876,0,77,17.1
Jack,Cork,84,Midfielder,MID,Burnley,BUR,0,,1,0,0,i,50,2614,0,70,14
Kevin,Long,85,Defender,DEF,Burnley,BUR,0.2,,1,,1,a,45,562,0,21,4.7
Jay,Rodriguez,86,Forward,FWD,Burnley,BUR,0.9,,1,,1,a,60,2002,0,100,16.7
Ashley,Barnes,87,Forward,FWD,Burnley,BUR,0.2,,1,0,0,i,60,1350,0,61,10.2
Ben,Mee,88,Defender,DEF,Burnley,BUR,0.6,,1,0,0,i,50,2880,0,110,22
Ashley,Westwood,89,Midfielder,MID,Burnley,BUR,1.1,,1,,1,a,55,3150,0,118,21.5
Johann Berg,Gudmundsson,90,Midfielder,MID,Burnley,BUR,0.1,,1,,1,a,55,617,0,30,5.5
Chris,Wood,91,Forward,FWD,Burnley,BUR,2.7,,1,,1,a,65,2436,0,136,20.9
Matthew,Lowton,92,Defender,DEF,Burnley,BUR,0.2,,1,,1,a,45,1530,0,48,10.7
Matej,Vydra,93,Forward,FWD,Burnley,BUR,0.6,,1,,1,a,50,807,0,39,7.8
Ben,Gibson,94,Defender,DEF,Burnley,BUR,0.4,,1,0,0,n,40,0,0,0,0
Robbie,Brady,95,Midfielder,MID,Burnley,BUR,0.1,,1,,1,a,50,445,0,32,6.4
Nick,Pope,96,Goalkeeper,GKP,Burnley,BUR,18.7,,1,,1,a,55,3420,0,170,30.9
Charlie,Taylor,97,Defender,DEF,Burnley,BUR,5.7,,1,,1,a,45,1944,0,84,18.7
Josh,Brownhill,98,Midfielder,MID,Burnley,BUR,0,,1,,1,a,50,805,0,21,4.2
Bailey,Peacock-Farrell,99,Goalkeeper,GKP,Burnley,BUR,1.5,,1,,1,a,40,0,0,0,0
Dwight,McNeil,100,Midfielder,MID,Burnley,BUR,1.1,,1,,1,a,60,3339,0,123,20.5
Jimmy,Dunne,519,Defender,DEF,Burnley,BUR,0.2,,1,,1,a,40,0,0,0,0
Bobby,Thomas,520,Defender,DEF,Burnley,BUR,0.1,,1,,1,a,40,0,0,0,0
Willy,Caballero,101,Goalkeeper,GKP,Chelsea,CHE,0.4,,1,,1,a,50,450,0,13,2.6
César,Azpilicueta,102,Defender,DEF,Chelsea,CHE,8.2,,1,,1,a,60,3229,0,130,21.7
Olivier,Giroud,103,Forward,FWD,Chelsea,CHE,1.4,,1,,1,a,70,988,0,68,9.7
Marcos,Alonso,104,Defender,DEF,Chelsea,CHE,3.7,,1,,1,a,60,1429,0,100,16.7
Jorge Luiz,Frello Filho,105,Midfielder,MID,Chelsea,CHE,1.8,,1,,1,a,50,2376,0,92,18.4
Ross,Barkley,106,Midfielder,MID,Chelsea,CHE,0.3,,1,,1,a,60,1095,0,61,10.2
Mateo,Kovacic,107,Midfielder,MID,Chelsea,CHE,0.1,,1,0,0,s,55,2065,0,68,12.4
Antonio,Rüdiger,109,Defender,DEF,Chelsea,CHE,2.2,,1,,1,a,50,1710,0,63,12.6
Kurt,Zouma,110,Defender,DEF,Chelsea,CHE,0.9,,1,,1,a,50,2343,0,62,12.4
Emerson,Palmieri dos Santos,111,Defender,DEF,Chelsea,CHE,0.2,,1,,1,a,50,1022,0,19,3.8
Kepa,Arrizabalaga,112,Goalkeeper,GKP,Chelsea,CHE,2.3,,1,,1,a,50,2970,0,90,18
N'Golo,Kanté,113,Midfielder,MID,Chelsea,CHE,4,,1,,1,a,50,1730,0,57,11.4
Hakim,Ziyech,114,Midfielder,MID,Chelsea,CHE,3.5,,1,0,0,i,80,0,0,0,0
Ruben,Loftus-Cheek,115,Midfielder,MID,Chelsea,CHE,0.2,,1,,1,a,60,203,0,12,2
Andreas,Christensen,116,Defender,DEF,Chelsea,CHE,0.3,,1,,1,a,50,1751,0,34,6.8
Timo,Werner,117,Forward,FWD,Chelsea,CHE,48.9,,1,,1,a,95,0,0,0,0
Tammy,Abraham,118,Forward,FWD,Chelsea,CHE,5.5,,1,,1,a,75,2206,0,153,20.4
Christian,Pulisic,119,Midfielder,MID,Chelsea,CHE,9.4,,1,100,1,a,85,1717,0,127,14.9
Mason,Mount,120,Midfielder,MID,Chelsea,CHE,9.4,,1,,1,a,70,2865,0,137,19.6
Fikayo,Tomori,121,Defender,DEF,Chelsea,CHE,0.4,,1,,1,a,50,1291,0,48,9.6
Callum,Hudson-Odoi,122,Midfielder,MID,Chelsea,CHE,0.5,,1,,1,a,60,849,0,53,8.8
Reece,James,123,Defender,DEF,Chelsea,CHE,4.7,,1,,1,a,50,1510,0,61,12.2
Billy,Gilmour,124,Midfielder,MID,Chelsea,CHE,0.2,,1,0,0,i,45,191,0,9,2
Benjamin,Chilwell,232,Defender,DEF,Chelsea,CHE,1.5,,1,0,0,i,55,2374,0,114,20.7
Thiago,Thiago,490,Defender,DEF,Chelsea,CHE,4.1,,1,25,0.25,d,55,0,0,0,0
Kai,Havertz,500,Midfielder,MID,Chelsea,CHE,12.7,,1,,1,a,85,0,0,0,0
Michy,Batshuayi,108,Forward,FWD,Crystal Palace,CRY,1.7,,1,,1,a,60,224,0,28,4.7
Gary,Cahill,125,Defender,DEF,Crystal Palace,CRY,0.1,,1,0,0,i,45,2167,0,70,15.6
Wayne,Hennessey,126,Goalkeeper,GKP,Crystal Palace,CRY,0.9,,1,,1,a,45,270,0,7,1.6
Mamadou,Sakho,127,Defender,DEF,Crystal Palace,CRY,0,,1,0,0,i,45,929,0,11,2.4
Vicente,Guaita,128,Goalkeeper,GKP,Crystal Palace,CRY,1.5,,1,,1,a,50,3150,0,137,27.4
James,Tomkins,129,Defender,DEF,Crystal Palace,CRY,0,,1,0,0,i,45,1582,0,48,10.7
James,McArthur,130,Midfielder,MID,Crystal Palace,CRY,0.2,,1,,1,a,55,3091,0,92,16.7
James,McCarthy,131,Midfielder,MID,Crystal Palace,CRY,2.5,,1,,1,a,45,1668,0,41,9.1
Christian,Benteke,132,Forward,FWD,Crystal Palace,CRY,0.3,,1,0,0,i,55,1252,0,42,7.6
Cheikhou,Kouyaté,133,Midfielder,MID,Crystal Palace,CRY,0.2,,1,,1,a,50,2524,0,85,17
Joel,Ward,134,Defender,DEF,Crystal Palace,CRY,1.8,,1,,1,a,45,2380,0,77,17.1
Martin,Kelly,135,Defender,DEF,Crystal Palace,CRY,1.4,,1,,1,a,45,1547,0,64,14.2
Connor,Wickham,136,Forward,FWD,Crystal Palace,CRY,1.8,,1,0,0,i,45,90,0,15,3.3
Andros,Townsend,137,Midfielder,MID,Crystal Palace,CRY,0.3,,1,,1,a,60,1284,0,48,8
Luka,Milivojevic,138,Midfielder,MID,Crystal Palace,CRY,1,,1,,1,a,60,2510,0,81,13.5
Patrick,van Aanholt,139,Defender,DEF,Crystal Palace,CRY,0.1,,1,0,0,i,55,2507,0,109,19.8
Jordan,Ayew,140,Forward,FWD,Crystal Palace,CRY,7.1,,1,,1,a,60,3148,0,132,22
Wilfried,Zaha,141,Midfielder,MID,Crystal Palace,CRY,7.9,,1,,1,a,70,3279,0,120,17.1
Jeffrey,Schlupp,142,Midfielder,MID,Crystal Palace,CRY,0.1,,1,,1,a,55,1030,0,51,9.3
Max,Meyer,143,Midfielder,MID,Crystal Palace,CRY,0.1,,1,,1,a,50,645,0,23,4.6
Jairo,Riedewald,144,Midfielder,MID,Crystal Palace,CRY,0.2,,1,,1,a,45,761,0,22,4.9
Nathan,Ferguson,145,Defender,DEF,Crystal Palace,CRY,2.2,,1,0,0,i,40,0,0,0,0
Tyrick,Mitchell,146,Defender,DEF,Crystal Palace,CRY,12.4,,1,,1,a,40,193,0,4,1
Brandon,Pierrick,147,Midfielder,MID,Crystal Palace,CRY,0.1,,1,,1,a,45,13,0,2,0.4
Scott,Dann,486,Defender,DEF,Crystal Palace,CRY,0.3,,1,,1,a,45,1264,0,51,11.3
Eberechi,Eze,489,Midfielder,MID,Crystal Palace,CRY,0.7,,1,75,0.75,d,60,0,0,0,0
Theo,Walcott,148,Midfielder,MID,Everton,EVE,0.3,,1,,1,a,60,1281,0,63,10.5
Fabian,Delph,149,Midfielder,MID,Everton,EVE,0.1,,1,50,0.5,d,50,1187,0,24,4.8
Gylfi,Sigurdsson,150,Midfielder,MID,Everton,EVE,1.9,,1,,1,a,70,2555,0,95,13.6
Jonas,Lössl,151,Goalkeeper,GKP,Everton,EVE,0.2,,1,,1,a,45,0,0,0,0
Seamus,Coleman,152,Defender,DEF,Everton,EVE,0.7,,1,,1,a,50,1833,0,55,11
Cenk,Tosun,153,Forward,FWD,Everton,EVE,0,,1,0,0,i,60,462,0,24,4
Bernard,Anício Caldeira Duarte,154,Midfielder,MID,Everton,EVE,0.2,,1,,1,a,60,1269,0,72,12
Lucas,Digne,155,Defender,DEF,Everton,EVE,7.1,,1,,1,a,60,3031,0,120,20
Michael,Keane,156,Defender,DEF,Everton,EVE,1.7,,1,,1,a,50,2556,0,90,18
Jordan,Pickford,157,Goalkeeper,GKP,Everton,EVE,4.7,,1,,1,a,50,3420,0,117,23.4
André Filipe,Tavares Gomes,158,Midfielder,MID,Everton,EVE,0.4,,1,,1,a,55,1457,0,39,7.1
Alex,Iwobi,159,Midfielder,MID,Everton,EVE,0.2,,1,,1,a,60,1591,0,52,8.7
Jonjoe,Kenny,160,Defender,DEF,Everton,EVE,0.2,,1,,1,a,45,0,0,0,0
Jean-Philippe,Gbamin,161,Midfielder,MID,Everton,EVE,0,,1,0,0,i,50,135,0,4,0.8
Yerry,Mina,162,Defender,DEF,Everton,EVE,0.9,,1,,1,a,55,2281,0,78,14.2
Tom,Davies,163,Midfielder,MID,Everton,EVE,0.1,,1,,1,a,55,2020,0,59,10.7
Dominic,Calvert-Lewin,164,Forward,FWD,Everton,EVE,6.7,,1,,1,a,70,2621,0,126,18
Mason,Holgate,165,Defender,DEF,Everton,EVE,0.2,,1,25,0.25,d,50,2052,0,71,14.2
Richarlison,de Andrade,166,Forward,FWD,Everton,EVE,10.6,,1,,1,a,80,3070,0,165,20.6
João,Virgínia,167,Goalkeeper,GKP,Everton,EVE,0.1,,1,,1,a,45,0,0,0,0
Anthony,Gordon,168,Midfielder,MID,Everton,EVE,1,,1,,1,a,45,436,0,17,3.8
Moise,Kean,169,Forward,FWD,Everton,EVE,0.5,,1,,1,a,60,830,0,53,8.8
Jarrad,Branthwaite,170,Defender,DEF,Everton,EVE,4.6,,1,,1,a,40,299,0,11,2.8
Allan,Marques Loureiro,502,Midfielder,MID,Everton,EVE,1.3,,1,,1,a,55,0,0,0,0
James,Rodríguez,508,Midfielder,MID,Everton,EVE,7.8,,1,,1,a,75,0,0,0,0
Abdoulaye,Doucouré,512,Midfielder,MID,Everton,EVE,2.1,,1,,1,a,55,3156,0,113,20.5
Fabricio,Agosto Ramírez,171,Goalkeeper,GKP,Fulham,FUL,2.1,,1,,1,a,40,0,0,0,0
Kevin,McDonald,172,Midfielder,MID,Fulham,FUL,0.1,,1,,1,a,50,0,0,0,0
Maxime,Le Marchand,173,Defender,DEF,Fulham,FUL,0.2,,1,,1,a,45,0,0,0,0
Stefan,Johansen,174,Midfielder,MID,Fulham,FUL,0.1,,1,,1,a,50,0,0,0,0
Tom,Cairney,175,Midfielder,MID,Fulham,FUL,0.4,,1,,1,a,55,0,0,0,0
Tim,Ream,176,Defender,DEF,Fulham,FUL,0.2,,1,,1,a,45,0,0,0,0
Anthony,Knockaert,177,Midfielder,MID,Fulham,FUL,0.2,,1,,1,a,55,0,0,0,0
Michael,Hector,178,Defender,DEF,Fulham,FUL,0.4,,1,,1,a,45,0,0,0,0
Cyrus,Christie,179,Defender,DEF,Fulham,FUL,0.2,,1,,1,a,45,0,0,0,0
Neeskens,Kebano,180,Midfielder,MID,Fulham,FUL,0.2,,1,,1,a,50,0,0,0,0
Bobby,Decordova-Reid,181,Forward,FWD,Fulham,FUL,0.2,,1,,1,a,55,0,0,0,0
Joe,Bryan,182,Defender,DEF,Fulham,FUL,1.1,,1,,1,a,50,0,0,0,0
Marcus,Bettinelli,183,Goalkeeper,GKP,Fulham,FUL,0.2,,1,0,0,n,45,0,0,0,0
Aleksandar,Mitrović,184,Forward,FWD,Fulham,FUL,25.5,,1,,1,a,60,0,0,0,0
Alfie,Mawson,185,Defender,DEF,Fulham,FUL,0,,1,0,0,n,45,0,0,0,0
Marek,Rodák,186,Goalkeeper,GKP,Fulham,FUL,0.5,,1,,1,a,45,0,0,0,0
Ivan Ricardo,Neves Abreu Cavaleiro,187,Midfielder,MID,Fulham,FUL,0.1,,1,,1,a,55,0,0,0,0
Josh,Onomah,188,Midfielder,MID,Fulham,FUL,0.2,,1,,1,a,50,0,0,0,0
Jean Michaël,Seri,189,Midfielder,MID,Fulham,FUL,0.2,,1,,1,a,50,0,0,0,0
Aboubakar,Kamara,190,Midfielder,MID,Fulham,FUL,0.1,,1,,1,a,50,0,0,0,0
André-Frank,Zambo Anguissa,191,Midfielder,MID,Fulham,FUL,1,,1,,1,a,45,0,0,0,0
Zeze Steven,Sessegnon,192,Defender,DEF,Fulham,FUL,0.3,,1,0,0,n,45,0,0,0,0
Harrison,Reed,373,Midfielder,MID,Fulham,FUL,1,,1,,1,a,45,0,0,0,0
Antonee,Robinson,484,Defender,DEF,Fulham,FUL,0.2,,1,,1,a,45,0,0,0,0
Mario,Lemina,493,Midfielder,MID,Fulham,FUL,1.3,,1,,1,a,45,0,0,0,0
Alphonse,Areola,516,Goalkeeper,GKP,Fulham,FUL,0.7,,1,,1,a,45,0,0,0,0
Kenny,Tete,517,Defender,DEF,Fulham,FUL,0.1,,1,,1,a,45,0,0,0,0
Wes,Morgan,216,Defender,DEF,Leicester,LEI,0.1,,1,75,0.75,d,45,430,0,19,4.2
Kasper,Schmeichel,217,Goalkeeper,GKP,Leicester,LEI,14.2,,1,,1,a,55,3420,0,156,28.4
Christian,Fuchs,218,Defender,DEF,Leicester,LEI,0,,1,50,0.5,d,45,770,0,26,5.8
Jonny,Evans,219,Defender,DEF,Leicester,LEI,0.1,,1,0,0,s,55,3384,0,128,23.3
Adrien,Silva,220,Midfielder,MID,Leicester,LEI,0.7,,1,,1,a,45,0,0,0,0
Marc,Albrighton,221,Midfielder,MID,Leicester,LEI,0.2,,1,,1,a,55,857,0,38,6.9
Matty,James,222,Midfielder,MID,Leicester,LEI,0.5,,1,,1,a,45,5,0,1,0.2
Danny,Ward,223,Goalkeeper,GKP,Leicester,LEI,0.2,,1,,1,a,45,0,0,0,0
Jamie,Vardy,224,Forward,FWD,Leicester,LEI,17.9,,1,,1,a,100,3032,0,210,21
